Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,Collection Folder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
NBLP 7169,Giorgio*,E=MC²,Casablanca Records,"LP, Album",,1979,58620,Uncategorized,,,,
NBLP 7190,Persia,Persia,Casablanca Records,LP,,1979,834659,Uncategorized,2009-08-28 12:48:10,,,
C7-2001,Laurie Marshall,The Disco Spaceship,Casino Records,"12"", Single",,1977,227509,Uncategorized,,,,
"CBSA 12.4498, CBSA 12-4498, CBS A 12.4498",Ivan (4),Fotonovela · Chapter (II),"CBS, CBS, CBS","12"", Maxi",,1984,101635,Uncategorized,,,,
C83002,Channel 83,The Aliens: The Sunlamp Show,Channel 83,"12""",,2009,2009068,Uncategorized,2010-12-28 06:51:17,,,
12 CHEAP 08,Sluts'n'Strings & 909,Steamin' Promises E.P.,Cheap,"12"", EP",4,1994,10901,Uncategorized,,,,
12 CHEAP 09,Christopher Just,Forbidden Planet,Cheap,"12""",,1994,60336,Uncategorized,,,,
12 CHEAP 21,Sluts'n'Strings & 909,Carrera,Cheap,2xLP,5,1997,12309,Uncategorized,,,,
12 CHEAP 44,Louie Austen,Together EP,Cheap,"12"", EP",4,2003,160578,Uncategorized,,,,
ROCKERS10,"Drug Punks, The",Drug / Punk,City Rockers,"12""",3,2002,25223,Uncategorized,,,,
CMC61,Induceve,Jazz Chops EP,Classic,"12"", EP",4,2001,20873,Uncategorized,,,,
C#17,Alden Tyrell,Digger,Clone,"12""",,2002,82733,Uncategorized,,,,
C#21,Duplex,EP 5,Clone,"12"", EP",,2001,41060,Uncategorized,,,,
C#22,Various,We Still Kill The Old Way,Clone,"2x12""",4,2001,22341,Uncategorized,,,,
C#26,Duplex,Autoload EP,Clone,"12"", EP",,2002,74329,Uncategorized,,,,
C#28,Putsch '79,1300,Clone,"12""",,2003,123758,Uncategorized,,,,
C#31-cd,Lab Rat XL,Mice Or Cyborg,Clone,"CD, Album",,2003,219076,Uncategorized,,,,
C#32,Putsch '79,Asian Girls,Clone,"12""",,2003,189738,Uncategorized,,,,
C#33a-b,Glass Domain,Glass Domain,Clone,"12"", RM, RE, Ltd, Cle",,2003,205907,Uncategorized,2010-11-15 12:54:03,,,
C#34-lp,Putsch '79,Putsch,Clone,"2xLP, Album",,2004,245902,Uncategorized,,,,
C#36,Unit 4 (2),Bodydub,Clone,"12""",,2004,257925,Uncategorized,,,,
C#37,Alden Tyrell,Disco Lunar Module,Clone,"12""",,2004,324807,Uncategorized,,,,
C#37.1,Alden Tyrell,Disco Lunar Module Rmx / Other Worlds Robots,Clone,"12""",,2005,406148,Uncategorized,,,,
C#38,Putsch '79,Arpeggio Life,Clone,"12""",5,2005,468009,Uncategorized,,,,
C#CD3,Putsch '79,Putsch,Clone,"CD, Album",,2004,246192,Uncategorized,,,,
C#CD4,Various,The Men You'll Never See,Clone,"CD, Comp",,2004,284038,Uncategorized,,,,
Clone# 35-lp,Various,The Men You'll Never See,Clone,"2x12"", Comp",,2004,261283,Uncategorized,,,,
Cx12,Alden Tyrell,Knockers,Clone,"12"", Ltd",,2003,207568,Uncategorized,,,,
Cx14,Putsch '79,Untitled,Clone,"12"", Ltd",,2003,219061,Uncategorized,,,,
CX18,Unit 4 (2),Bodydub (Remixes),Clone,"12""",,2004,320895,Uncategorized,,,,
Cx8,Like A Tim,Disc O Tim,Clone,"12"", Ltd",,2002,47537,Uncategorized,,,,
CX9,Drexciya,Untitled,Clone,"12"", Ltd",,2002,35562,Uncategorized,,,,
"C#CD1, Crème CD-01",Bangkok Impact,Traveller,"Clone, Crème Organization","CD, Album",,2003,163469,Uncategorized,,,,
"484389 2, COL 484389 2",Hooverphonic,A New Stereophonic Sound Spectacular,"Columbia, Columbia","CD, Album",,1996,59438,Uncategorized,,,,
CL 001,Photocall,Silver Clouds,Computer Life Recordings,"12"", Ltd",,2004,322816,Uncategorized,,,,
CSLTD102,A.D.N.Y.*,De Mi Para Ti,Corner Shots Ltd,"12""",5,2001,11020,Uncategorized,,,,
CSLTD103,A.D.N.Y.*,Vida Mia,Corner Shots Ltd,"12"", EP",4,2001,12363,Uncategorized,,,,
CD LP 002,Various,Disco Obscura Presente Cosmic Dancer - Voyage Two,Cosmic Dancer,LP,,2005,529354,Uncategorized,,,,
Crème 12-03R,Bangkok Impact,Junge Dame Remixes (Arctic Version),Crème Organization,"12""",,2003,211696,Uncategorized,,,,
Crème 12-09,Polarius,Winter In Polarius,Crème Organization,"12""",,2003,158992,Uncategorized,2010-11-16 07:39:55,,,
Crème 12-11,Raheem Hershel,Gotta Have The Pokey,Crème Organization,"12""",,2003,150550,Uncategorized,,,,
Crème 12-13,Legowelt,Under The Panda Moon,Crème Organization,"12""",,2004,261300,Uncategorized,,,,
Crème 12-14,Orgue Electronique,"Texas, Brooklyn & Heaven",Crème Organization,"12""",,2004,254621,Uncategorized,,,,
Crème 12-17,Nami Shimada,Sunshower,Crème Organization,"12""",,2004,365447,Uncategorized,,,,
Crème LP-01,Bangkok Impact,Traveller,Crème Organization,2xLP,,2003,135957,Uncategorized,,,,
Crème LP-03,Various,Are We Too Late For The Trend?,Crème Organization,LP,,2003,202368,Uncategorized,,,,
Crème LP-04,Various,You Bet We've Got Something Personal Against You!,Crème Organization,"2xLP, Comp",,2003,215719,Uncategorized,,,,
Crème LP-06,Alexander Robotnick,Krypta 1982 (Rare Robotnicks Part 2),Crème Organization,2xLP,,2005,583599,Uncategorized,,,,
CRO 12-01,Mr. Clavio,Call Me Mister Falcon / Paper World,Crème Organization,"12""",4,2001,35109,Uncategorized,,,,
CRO 12-03,Bangkok Impact,Aspirin / Junge Dame Mit Freundliche Tel,Crème Organization,"12""",5,2002,33066,Uncategorized,,,,
CRO 12-04,It & My Computer,Sur Une Cigarette,Crème Organization,"12""",,2002,45027,Uncategorized,,,,
CRO 12-06,Dan Physics,Cannot Find Words,Crème Organization,"12""",,2002,51783,Uncategorized,,,,
CRO 12-08,Bangkok Impact,Masters Of The Universe,Crème Organization,"12""",,2002,70537,Uncategorized,,,,
"Crème LP-02, Goldcoast 01",Legowelt,Reports From The Backseat Pimp,"Crème Organization, Goldcoast","LP, Ltd",,2003,154165,Uncategorized,,,,
DAR 001-6,Hugg & Pepp,Bastratt E.P.,Dahlbäck Records,"12"", EP",,2003,219047,Uncategorized,,,,
DeepTics_01,Various,Deep Tics,Deep Tics,"CD, Comp, Dig",,2003,160170,Uncategorized,,,,
L.12,Les Rockets*,Atomic  Control / Future Woman,Deram,"12""",,1976,435476,Uncategorized,2010-11-15 12:54:11,,,
IRQ08CD,Various,Disco Undead,Device,"CD, Comp",,2004,330107,Uncategorized,,,,
DIF 001 DLP,Motorbass,Pansoul,Different,"2x12"", Album",5,1996,34125,Uncategorized,,,,
"DIFB 1028, 451.1028.130",Tiga,Pleasure From The Bass,"Different, [PIAS] Recordings","12""",,2004,264281,Uncategorized,,,,
"DIF 001 CD, 451.0001.20, RTD 375.0701.2",Motorbass,Pansoul,"Different, Pias France, Rough Trade Distribution","CD, Album",5,1996,27988,Uncategorized,,,,
Digitalo.1,Various,Digitalo.1,Digitalo,"12""",,2003,164901,Uncategorized,,,,
Dis 010,Erot,Two Songs For Annie,Discfunction,"12""",,1999,49260,Uncategorized,,,,
MIX  236,Plastic Mode,Baja Imperial,Discomagic Records,"12""",,1985,192751,Uncategorized,,,,
db 111,"Parallax Corporation, The",Cocadisco,Disko B,2xLP,,2002,71606,Uncategorized,,,,
db83,I-f,The Man From PACK,Disko B,"2xLP, Album",5,1999,26751,Uncategorized,,,,
PO-400,Easy Going,Easy Going,Disques Podium Records,LP,,1978,421576,Uncategorized,,,,
DS 0702,Cosmic Metal Mother / Professor Genius,I Think... / Pegaso,Disques Sinthomme,"12""",,2007,1134899,Uncategorized,2010-11-18 12:55:16,,,
DK 1,Thomas Krome,The Real Jazz,DK Records,"10""",5,1998,1406,Uncategorized,,,,
DK 4,Thomas Krome,The Real Jazz (Remixes),DK Records,"2x12""",5,1999,23364,Uncategorized,,,,
DK 6,DK,Sex,DK Records,"12""",,2002,92649,Uncategorized,,,,
DK 7,DK7,The Difference,DK Records,"12""",,2002,65361,Uncategorized,,,,
DX 0,Jesper Dahlbäck,Machine Dance,DK Records,"12""",,2004,297210,Uncategorized,,,,
DX 1,Jesper Dahlbäck,Polyhouse,DK Records,"12""",5,2005,457255,Uncategorized,,,,
"DK8, DK 8",DK8*,Murder Was The Bass,"DK Records, DK Records","12""",,2003,146317,Uncategorized,,,,
DNH-008,Nick Holder,Private Selections EP,DNH Recordings,"12"", EP",,1993,61092,Uncategorized,,,,
DNH-067,N. Holder*,Private Selections,DNH Recordings,"12""",5,2000,9423,Uncategorized,,,,
0-96658,J.J. Fad,Supersonic,"Dream Team Records, Atlantic","12""",3,1988,36997,Uncategorized,,,,
DAI 30334,Passengers (2),Girls Cost Money,Durium,LP,,1979,212465,Uncategorized,2010-11-15 12:56:26,,,
DMSR 00883,"Egyptian Lover, The*",King Of Ecstasy (His Greatest Hits Album),Egyptian Empire Records,2xLP,,1989,98698,Uncategorized,,,,
ETRX008,Zeta Reticula,EP 3,Electrix Records,"12"", EP",5,2001,18522,Uncategorized,,,,
EF 2008-2,DJ 3000,Somewhere In Detroit Mix Series Vol. 1,Electrofunk Records,"CD, Mixed",,2002,67720,Uncategorized,,,,
EF-2002-1,Mr. De',Sex On The Beach 2000,Electrofunk Records,"12""",,2000,65205,Uncategorized,,,,
ETS007A,Spatial & Co / Voyage / Disco & Co,Spatial Disco,Electunes,"LP, Comp",,2008,1548756,Uncategorized,2010-12-28 06:51:48,,,
AS-11443,Side Effect,Take A Chance 'N' Dance / I Feel It's Real,Elektra,"12"", Promo",,1980,2592022,Uncategorized,2010-12-11 15:00:32,,,
e100000,Anthony Rother,Redlight District,Elektrolux,"12""",5,1998,4646,Uncategorized,,,,
EMDS 6527,Electra (2) Featuring Tara Butler,Feels Good (Carrots & Beets),Emergency Records,"12""",,1982,61280,Uncategorized,,,,
EMLP 7505,Kano,Kano,Emergency Records,"LP, Album",,1980,82260,Uncategorized,,,,
EMS-4504,Kano,I'm Ready / Holly Dolly,Emergency Records,"7""",,1980,227013,Uncategorized,,,,
